adres,y,x
adres1,23.141401,53.142928
adres2,23.150168,53.125021
adres3,23.094750,53.157217
adres4,23.095895,53.149964
adres5,23.198124,53.106625
adres6,23.175494,53.125748
adres7,23.147174,53.117526
adres8,23.135313,53.13227
adres9,23.165609,53.131947
adres10,23.119271,53.135303
adres11,23.086826,53.115631
adres13,23.139359,53.128257
adres14,23.102596,53.127781
adres15,23.1276427,53.10948
adres16,23.1292821,53.14198
adres17,23.0967974,53.11990
adres18,23.1837065,53.12927
adres19,23.0917050,53.13293
adres20,23.1364725,53.11795
adres21,23.1818254,53.15682
adres22,23.1179046,53.14953
adres23,23.1186282,53.10971
adres24,23.091748,53.13297
adres25,23.163625,53.12544


